t,survival,at_risk,events
1,0.5594405594405594,143,63
2,0.48582995951417,76,10
3,0.44787449392712547,64,5
4,0.4158834586466165,56,4
5,0.4073960411232162,49,1
6,0.4073960411232162,46,0
7,0.3884473880477178,43,2
8,0.3569516538816866,37,3
9,0.32450150352880597,33,3
10,0.28556132310534926,25,3
11,0.28556132310534926,19,0
12,0.28556132310534926,11,0
