musica,first,last,n_eras,censored,span,grupo,duration,event
Rock Show,1,8,2,False,8,Wings/solo,8,1
Rough Ride,2,2,1,False,1,Wings/solo,1,1
Save Us,9,9,1,False,1,Wings/solo,1,1
Sgt. Pepper's Lonely Hearts Club Band,2,3,2,False,2,Beatles,2,1
Sgt. Pepper's Lonely Hearts Club Band (Reprise),4,12,8,True,9,Beatles,9,0
She Came in Through the Bathroom Window,6,12,2,True,7,Beatles,7,0
She's Leaving Home,5,5,1,False,1,Beatles,1,1
She's a Woman,12,12,1,True,1,Beatles,1,0
Silly Love Songs,1,1,1,False,1,Wings/solo,1,1
Sing the Changes,7,8,2,False,2,Wings/solo,2,1
Soily,1,1,1,False,1,Wings/solo,1,1
Something,4,12,8,True,9,Beatles,9,0
Spirits of Ancient Egypt,1,1,1,False,1,Wings/solo,1,1
The End,2,12,10,True,11,Beatles,11,0
The Fool on the Hill,2,5,3,False,4,Beatles,4,1
The Long and Winding Road,1,9,8,False,9,Beatles,9,1
Things We Said Today,2,2,1,False,1,Beatles,1,1
This One,2,2,1,False,1,Wings/solo,1,1
Till There Was You,6,6,1,False,1,Beatles,1,1
Time to Hide,1,1,1,False,1,Wings/solo,1,1
Too Many People,6,6,1,False,1,Wings/solo,1,1
Twenty Flight Rock,2,2,1,False,1,Wings/solo,1,1
Vanilla Sky,4,4,1,False,1,Wings/solo,1,1
Venus and Mars,1,8,2,False,8,Wings/solo,8,1
We Can Work It Out,3,10,5,False,8,Beatles,8,1
We Got Married,2,2,1,False,1,Wings/solo,1,1
Who Cares,11,11,1,False,1,Wings/solo,1,1
Yesterday,1,10,10,False,10,Beatles,10,1
You Gave Me the Answer,1,1,1,False,1,Wings/solo,1,1
You Never Give Me Your Money,4,12,3,True,9,Beatles,9,0
You Won't See Me,10,10,1,False,1,Beatles,1,1
Your Loving Flame,4,5,2,False,2,Wings/solo,2,1
