turne,ano,cidade_fonte,data_show_fonte,musica,fonte_url
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Maybe I'm Amazed,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,The Long and Winding Road,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,The Fool on the Hill,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Sgt. Pepper's Lonely Hearts Club Band,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Good Day Sunshine,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Can't Buy Me Love,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Put It There,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Things We Said Today,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Eleanor Rigby,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,This One,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,My Brave Face,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
